x,y,curvature,mission_tag,mission_param
346474.531794,4070214.647149,0,DRIVING,1.94
346474.810121,4070214.357025,0,DRIVING,1.94
346475.088447,4070214.066902,0,DRIVING,1.94
346475.366774,4070213.776778,0,DRIVING,1.94
346475.6451,4070213.486654,0,DRIVING,1.94
346475.923427,4070213.19653,0,DRIVING,1.94
346476.201754,4070212.906406,0,DRIVING,1.94
346476.48008,4070212.616282,0,DRIVING,1.94
346476.758407,4070212.326158,0,DRIVING,1.94
346477.036733,4070212.036034,0,DRIVING,1.94
346477.31506,4070211.74591,0,DRIVING,1.94
346477.593387,4070211.455786,0,DRIVING,1.94
346477.871713,4070211.165662,0,DRIVING,1.94
346478.15004,4070210.875538,0,DRIVING,1.94
346478.428366,4070210.585414,0,DRIVING,1.94
346478.706693,4070210.29529,0,DRIVING,1.94
346478.985019,4070210.005166,0,DRIVING,1.94
346479.263346,4070209.715042,0,DRIVING,1.94
346479.541673,4070209.424918,0,DRIVING,1.94
346479.819999,4070209.134794,0,DRIVING,1.94
346480.098326,4070208.844671,0,DRIVING,1.94
346480.376652,4070208.554547,0,DRIVING,1.94
346480.654979,4070208.264423,0,DRIVING,1.94
346480.933306,4070207.974299,0,DRIVING,1.94
346481.211632,4070207.684175,0,DRIVING,1.94
346481.489959,4070207.394051,0,DRIVING,1.94
346481.768285,4070207.103927,0,DRIVING,1.94
346482.046612,4070206.813803,0,DRIVING,1.94
346482.324938,4070206.523679,0,DRIVING,1.94
346482.603265,4070206.233555,0,DRIVING,1.94
346482.881592,4070205.943431,0,DRIVING,1.94
346483.159918,4070205.653307,0,DRIVING,1.94
346483.438245,4070205.363183,0,DRIVING,1.94
346483.716571,4070205.073059,0,DRIVING,1.94
346483.994898,4070204.782935,0,DRIVING,1.94
346484.273225,4070204.492811,0,DRIVING,1.94
346484.551551,4070204.202687,0,DRIVING,1.94
346484.829878,4070203.912564,0,DRIVING,1.94
346485.108204,4070203.62244,0,DRIVING,1.94
346485.386531,4070203.332316,0,DRIVING,1.94
346485.664857,4070203.042192,0,DRIVING,1.94
346485.943184,4070202.752068,0,DRIVING,1.94
346486.221511,4070202.461944,0,DRIVING,1.94
346486.499837,4070202.17182,0,DRIVING,1.94
346486.778164,4070201.881696,0,DRIVING,1.94
346487.05649,4070201.591572,0,DRIVING,1.94
346487.334817,4070201.301448,0,DRIVING,1.94
346487.613144,4070201.011324,0,DRIVING,1.94
346487.89147,4070200.7212,0,DRIVING,1.94
346488.169797,4070200.431076,0,DRIVING,1.94
346488.448123,4070200.140952,0,DRIVING,1.94
346488.72645,4070199.850828,0,DRIVING,1.94
346489.004776,4070199.560704,0,DRIVING,1.94
346489.283103,4070199.27058,0,DRIVING,1.94
346489.56143,4070198.980456,0,DRIVING,1.94
346489.839756,4070198.690333,0,DRIVING,1.94
346490.118083,4070198.400209,0,DRIVING,1.94
346490.396409,4070198.110085,0,DRIVING,1.94
346490.674736,4070197.819961,0,DRIVING,1.94
346490.953063,4070197.529837,0,DRIVING,1.94
346491.231389,4070197.239713,0,DRIVING,1.94
346491.509716,4070196.949589,0,DRIVING,1.94
346491.788042,4070196.659465,0,DRIVING,1.94
346492.066369,4070196.369341,0,DRIVING,1.94
346492.344695,4070196.079217,0,DRIVING,1.94
346492.623022,4070195.789093,0,DRIVING,1.94
346492.901349,4070195.498969,0,DRIVING,1.94
346493.179675,4070195.208845,0,DRIVING,1.94
346493.458002,4070194.918721,0,DRIVING,1.94
346493.736328,4070194.628597,0,DRIVING,1.94
346494.014655,4070194.338473,0,DRIVING,1.94
346494.292982,4070194.048349,0,DRIVING,1.94
346494.571308,4070193.758226,0,DRIVING,1.94
346494.849635,4070193.468102,0,DRIVING,1.94
346495.127961,4070193.177978,0,DRIVING,1.94
346495.406288,4070192.887854,0,DRIVING,1.94
346495.684614,4070192.59773,0,DRIVING,1.94
346495.962941,4070192.307606,0,DRIVING,1.94
346496.241268,4070192.017482,0,DRIVING,1.94
346496.519594,4070191.727358,0,DRIVING,1.94
346496.797921,4070191.437234,0,DRIVING,1.94
346497.076247,4070191.14711,0,DRIVING,1.94
346497.354574,4070190.856986,0,DRIVING,1.94
346497.632901,4070190.566862,0,DRIVING,1.94
346497.911227,4070190.276738,0,DRIVING,1.94
346498.189554,4070189.986614,0,DRIVING,1.94
346498.46788,4070189.69649,0,DRIVING,1.94
346498.746207,4070189.406366,0,DRIVING,1.94
346499.024533,4070189.116242,0,DRIVING,1.94
346499.30286,4070188.826118,0,DRIVING,1.94
346499.581187,4070188.535995,0,DRIVING,1.94
346499.859513,4070188.245871,0,DRIVING,1.94
346500.13784,4070187.955747,0.00102672391234733,DRIVING,1.94
346500.416166,4070187.665623,0.00115438909772723,DRIVING,1.94
346500.694493,4070187.375499,0.00128204899251668,DRIVING,1.94
346500.972302,4070187.082906,0.0011532481129487,DRIVING,1.94
346501.25011,4070186.790312,0.00102449853807829,DRIVING,1.94
346501.527919,4070186.497719,0,DRIVING,1.94
346501.805727,4070186.205126,0,DRIVING,1.94
346502.083536,4070185.912533,0,DRIVING,1.94
346502.361345,4070185.619939,0,DRIVING,1.94
346502.639153,4070185.327346,0,DRIVING,1.94
346502.916962,4070185.034753,0,DRIVING,1.94
346503.19477,4070184.74216,0,DRIVING,1.94
346503.472579,4070184.449566,0,DRIVING,1.94
346503.750388,4070184.156973,0,DRIVING,1.94
346504.028196,4070183.86438,0,DRIVING,1.94
346504.306005,4070183.571787,0,DRIVING,1.94
346504.583813,4070183.279193,0,DRIVING,1.94
346504.861622,4070182.9866,0,DRIVING,1.94
346505.139431,4070182.694007,0,DRIVING,1.94
346505.417239,4070182.401414,0,DRIVING,1.94
346505.695048,4070182.10882,0,DRIVING,1.94
346505.972856,4070181.816227,0,DRIVING,1.94
346506.250665,4070181.523634,0,DRIVING,1.94
346506.528474,4070181.231041,0,DRIVING,1.94
346506.806282,4070180.938448,0,DRIVING,1.94
346507.084091,4070180.645854,0,DRIVING,1.94
346507.361899,4070180.353261,0,DRIVING,1.94
346507.639708,4070180.060668,0,DRIVING,1.94
346507.917517,4070179.768075,0,DRIVING,1.94
346508.195325,4070179.475481,0,DRIVING,1.94
346508.473134,4070179.182888,0,DRIVING,1.94
346508.750942,4070178.890295,0,DRIVING,1.94
346509.028751,4070178.597702,0,DRIVING,1.94
346509.30656,4070178.305108,0,DRIVING,1.94
